name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
52997,84.098,5.147,214.725,1.1223181491207455e-06,2.0,0.06915749498124801,94,0.5,S230518h,52997,1.1223181491207455e-06
1339995,96.151,-12.332,213.128,1.113912495526281e-06,3.0,0.10296317350554926,95,0.5,S230518h,1339995,1.113912495526281e-06
1209216,96.151,-12.332,216.093,1.113912495526281e-06,4.0,0.13728686955862876,96,0.5,S230518h,1209216,1.113912495526281e-06
48407,86.982,2.294,254.525,1.111102453446755e-06,2.0,0.06846630221541768,97,0.5,S230518h,48407,1.111102453446755e-06
52970,83.567,4.802,232.582,1.105891865032405e-06,3.0,0.10222173909935078,98,0.5,S230518h,52970,1.105891865032405e-06
1301668,93.393,-10.383,215.793,1.1020841815863076e-06,2.0,0.06791053069206156,99,0.5,S230518h,1301668,1.1020841815863076e-06
1304353,87.702,-1.716,273.556,1.1001133339743863e-06,4.0,0.1355860601008058,100,0.5,S230518h,1304353,1.1001133339743863e-06
1300579,89.053,-3.910,276.483,1.0967808069380255e-06,1.0,0.033787891754251224,101,0.5,S230518h,1300579,1.0967808069380255e-06
57879,84.857,2.303,245.652,1.096376888094079e-06,3.0,0.10134216594339424,102,0.5,S230518h,57879,1.096376888094079e-06
7265730,83.375,5.742,282.049,1.094379828557241e-06,0.5,0.016852997111320097,103,0.5,S230518h,7265730,1.094379828557241e-06
7762595,96.553,-14.203,234.908,1.0917635342949067e-06,0.1,0.00335620594496419,104,0.5,S230518h,7762595,1.0917635342949067e-06
1295794,95.624,-10.905,224.418,1.0882501371124505e-06,3.0,0.1005909216624132,105,0.5,S230518h,1295794,1.0882501371124505e-06
7246031,83.886,3.735,280.097,1.0876703348574057e-06,0.2,0.006695101270727404,106,0.5,S230518h,7246031,1.0876703348574057e-06
7265787,83.171,5.999,255.772,1.082619604398436e-06,0.2,0.006663974995043102,107,0.5,S230518h,7265787,1.082619604398436e-06
1301635,91.475,-7.373,265.247,1.0778578771195727e-06,2.0,0.0664175295553561,108,0.5,S230518h,1301635,1.0778578771195727e-06
52991,83.902,5.599,218.837,1.074890958166317e-06,2.0,0.06623468642400661,109,0.5,S230518h,52991,1.074890958166317e-06
72662,84.394,5.122,255.710,1.0717265721457668e-06,2.0,0.06603967393532337,110,0.5,S230518h,72662,1.0717265721457668e-06
7799063,96.619,-14.524,248.480,1.0696546428161062e-06,0.1,0.003288080407793486,111,0.5,S230518h,7799063,1.0696546428161062e-06
52990,83.936,5.586,235.862,1.0677827256321806e-06,1.0,0.03289435538325105,112,0.5,S230518h,52990,1.0677827256321806e-06
7799013,96.925,-14.568,255.791,1.0671932507007866e-06,0.2,0.006568906580306403,113,0.5,S230518h,7799013,1.0671932507007866e-06
16747,82.678,6.291,253.595,1.0649367569985787e-06,2.0,0.06562123612749794,114,0.5,S230518h,16747,1.0649367569985787e-06
7798703,96.962,-14.682,234.626,1.0612906312567498e-06,0.4,0.01307297534351901,115,0.5,S230518h,7798703,1.0612906312567498e-06
7798678,96.832,-14.737,230.134,1.0603265350068955e-06,0.1,0.0032593371143588945,116,0.5,S230518h,7798678,1.0603265350068955e-06
7265795,83.385,6.168,215.319,1.0568480148949501e-06,0.1,0.003248618528516967,117,0.5,S230518h,7265795,1.0568480148949501e-06
7762722,95.932,-13.853,217.807,1.055834084301646e-06,0.1,0.003245494239522701,118,0.5,S230518h,7762722,1.055834084301646e-06
7762720,95.831,-13.874,282.358,1.055834084301646e-06,0.2,0.006498903132734654,119,0.5,S230518h,7762720,1.055834084301646e-06
64441,88.910,0.170,223.754,1.0555938717273872e-06,1.0,0.032518772455199005,120,0.5,S230518h,64441,1.0555938717273872e-06
7799073,96.367,-14.410,230.586,1.053455041321747e-06,1.0,0.032452867310003915,121,0.5,S230518h,7799073,1.053455041321747e-06
7798701,96.892,-14.892,251.918,1.0500973992240446e-06,0.5,0.01617074574461535,122,0.5,S230518h,7798701,1.0500973992240446e-06
1303316,94.320,-11.629,215.345,1.0496858416616563e-06,3.0,0.09702600297929301,123,0.5,S230518h,1303316,1.0496858416616563e-06
7265753,83.193,6.198,255.988,1.0488758911364142e-06,2.0,0.06463144872423919,124,0.5,S230518h,7265753,1.0488758911364142e-06
7762620,96.265,-14.332,251.137,1.0475429390755324e-06,0.3,0.009675667922442241,125,0.5,S230518h,7762620,1.0475429390755324e-06
51046,85.284,4.603,281.295,1.047047482160733e-06,2.0,0.0645187688607956,126,0.5,S230518h,51046,1.047047482160733e-06
7798993,97.039,-14.463,268.677,1.046263884331662e-06,1.0,0.03223128160395522,127,0.5,S230518h,7798993,1.046263884331662e-06
7798724,97.073,-14.780,270.642,1.041915290278422e-06,0.2,0.006413125397518056,128,0.5,S230518h,7798724,1.041915290278422e-06
7798739,97.080,-14.820,216.532,1.041915290278422e-06,0.06,0.00191839736167294,129,0.5,S230518h,7798739,1.041915290278422e-06
1303299,93.810,-7.267,279.228,1.0406626826229258e-06,1.2,0.03847200877540086,130,0.5,S230518h,1303299,1.0406626826229258e-06
7798734,97.027,-14.968,277.081,1.0403486904226966e-06,0.2,0.006403470869446834,131,0.5,S230518h,7798734,1.0403486904226966e-06
7798687,96.738,-14.872,271.008,1.0382127745396077e-06,0.1,0.003191196574063475,132,0.5,S230518h,7798687,1.0382127745396077e-06
7798709,96.884,-14.966,232.882,1.0366152841344374e-06,0.3,0.009574651682402523,133,0.5,S230518h,7798709,1.0366152841344374e-06
1290319,96.542,-14.727,237.584,1.0358186256854695e-06,1.1,0.035101159172692416,134,0.5,S230518h,1290319,1.0358186256854695e-06
7798418,97.215,-15.159,236.632,1.0308113043634636e-06,0.2,0.0063446945577432245,135,0.5,S230518h,7798418,1.0308113043634636e-06
7798486,96.997,-15.126,215.623,1.030594517285575e-06,0.1,0.0031677219521796403,136,0.5,S230518h,7798486,1.030594517285575e-06
7798789,97.208,-14.678,236.513,1.0286157182547092e-06,0.2,0.006331163758769712,137,0.5,S230518h,7798789,1.0286157182547092e-06
7798956,97.235,-14.660,263.074,1.0286157182547092e-06,0.2,0.006331163758769712,138,0.5,S230518h,7798956,1.0286157182547092e-06
48435,87.647,1.875,235.466,1.025969011549926e-06,1.3,0.04109007396738677,139,0.5,S230518h,48435,1.025969011549926e-06
7303142,85.371,1.365,231.925,1.025466418975295e-06,0.3,0.009471590554909282,140,0.5,S230518h,7303142,1.025466418975295e-06
7797842,97.003,-15.225,244.309,1.0221277233271985e-06,0.3,0.009440727347494179,141,0.5,S230518h,7797842,1.0221277233271985e-06
7798428,97.239,-15.077,218.339,1.0209639706504548e-06,0.1,0.0031380467347046177,142,0.5,S230518h,7798428,1.0209639706504548e-06
43627,82.629,5.385,255.887,1.0203539775053388e-06,5.0,0.15719617422717597,143,0.5,S230518h,43627,1.0203539775053388e-06
1305812,96.695,-12.968,265.276,1.0200620473548533e-06,2.0,0.06285573003888241,144,0.5,S230518h,1305812,1.0200620473548533e-06
7798394,97.240,-15.234,256.751,1.0200191234445782e-06,0.4,0.012564285228097336,145,0.5,S230518h,7798394,1.0200191234445782e-06
7798665,96.678,-14.944,222.400,1.0181703581383451e-06,0.3,0.009404145102355866,146,0.5,S230518h,7798665,1.0181703581383451e-06
