#id,ra,dec
694,278.79452326962854,-29.19945
695,279.711610517226,-29.19945
696,280.62869776482347,-29.19945
697,281.54578501242094,-29.19945
698,282.4628722600184,-29.19945
699,283.37995950761587,-29.19945
700,284.29704675521333,-29.19945
701,285.2141340028108,-29.19945
702,286.13122125040826,-29.19945
703,287.0483084980057,-29.19945
704,287.9653957456032,-29.19945
705,288.8824829932006,-29.19945
706,289.79957024079806,-29.19945
707,290.7166574883955,-29.19945
708,291.633744735993,-29.19945
709,292.55083198359046,-29.19945
710,293.4679192311879,-29.19945
711,294.3850064787854,-29.19945
712,295.30209372638285,-29.19945
713,296.2191809739803,-29.19945
714,297.1362682215778,-29.19945
715,298.05335546917524,-29.19945
716,298.9704427167727,-29.19945
717,299.8875299643702,-29.19945
718,300.80461721196764,-29.19945
719,301.7217044595651,-29.19945
720,302.63879170716257,-29.19945
721,303.55587895476003,-29.19945
