#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
8600,84.255,0.545,84.847,1.137,84.847,-0.046,83.664,-0.046,83.664,1.137,23,0.611,87,0.9,S230518h,8600,0.611
372,100.751,-27.818,101.416,-27.225,101.423,-28.408,100.078,-28.408,100.086,-27.225,118,0.604,88,0.9,S230518h,372,0.604
84,104.276,-28.909,104.948,-28.316,104.955,-29.499,103.596,-29.499,103.604,-28.316,115,0.603,89,0.9,S230518h,84,0.603
7290,90.821,-3.818,91.413,-3.226,91.414,-4.409,90.227,-4.409,90.228,-3.226,14,0.593,90,0.9,S230518h,7290,0.593
10897,82.822,8.182,83.421,8.773,83.419,7.590,82.225,7.590,82.224,8.773,13,0.588,91,0.9,S230518h,10897,0.588
8928,83.161,1.636,83.753,2.228,83.753,1.045,82.570,1.045,82.569,2.228,74,0.565,92,0.9,S230518h,8928,0.565
3418,100.253,-16.909,100.869,-16.317,100.873,-17.500,99.633,-17.500,99.637,-16.317,14,0.550,93,0.9,S230518h,3418,0.550
3104,100.892,-18.000,101.512,-17.408,101.516,-18.591,100.268,-18.591,100.272,-17.408,14,0.545,94,0.9,S230518h,3104,0.545
2478,97.548,-20.182,98.176,-19.589,98.181,-20.772,96.916,-20.772,96.921,-19.589,106,0.539,95,0.9,S230518h,2478,0.539
14711,68.961,21.273,69.598,21.863,69.593,20.680,68.329,20.680,68.324,21.863,39,0.536,96,0.9,S230518h,14711,0.536
4371,98.692,-13.636,99.299,-13.044,99.302,-14.227,98.081,-14.227,98.084,-13.044,15,0.513,97,0.9,S230518h,4371,0.513
1561,99.802,-23.455,100.444,-22.862,100.450,-24.045,99.154,-24.045,99.160,-22.862,119,0.512,98,0.9,S230518h,1561,0.512
4688,93.913,-12.545,94.518,-11.953,94.520,-13.136,93.306,-13.136,93.308,-11.953,18,0.496,99,0.9,S230518h,4688,0.496
9913,81.220,4.909,81.814,5.500,81.813,4.317,80.626,4.317,80.625,5.500,49,0.491,100,0.9,S230518h,9913,0.491
10570,82.569,7.091,83.166,7.682,83.164,6.499,81.974,6.499,81.972,7.682,13,0.482,101,0.9,S230518h,10570,0.482
2170,98.182,-21.273,98.814,-20.680,98.819,-21.863,97.545,-21.863,97.550,-20.680,98,0.479,102,0.9,S230518h,2170,0.479
8274,87.538,-0.545,88.129,0.046,88.130,-1.137,86.946,-1.137,86.947,0.046,10,0.470,103,0.9,S230518h,8274,0.470
3100,96.306,-18.000,96.926,-17.408,96.930,-18.591,95.682,-18.591,95.686,-17.408,104,0.465,104,0.9,S230518h,3100,0.465
5656,91.938,-9.273,92.537,-8.681,92.539,-9.864,91.338,-9.864,91.340,-8.681,14,0.464,105,0.9,S230518h,5656,0.464
665,100.068,-26.727,100.727,-26.134,100.734,-27.317,99.402,-27.317,99.409,-26.134,105,0.461,106,0.9,S230518h,665,0.461
9918,86.707,4.909,87.302,5.500,87.300,4.317,86.114,4.317,86.113,5.500,10,0.457,107,0.9,S230518h,9918,0.457
6196,329.080,-8.182,329.676,-7.590,329.678,-8.773,328.481,-8.773,328.483,-7.590,202,0.456,108,0.9,S230518h,6196,0.456
376,105.666,-27.818,106.331,-27.225,106.338,-28.408,104.993,-28.408,105.000,-27.225,99,0.456,109,0.9,S230518h,376,0.456
669,104.949,-26.727,105.608,-26.134,105.615,-27.317,104.283,-27.317,104.290,-26.134,103,0.450,110,0.9,S230518h,669,0.450
10245,85.610,6.000,86.205,6.591,86.204,5.408,85.016,5.408,85.014,6.591,16,0.448,111,0.9,S230518h,10245,0.448
