#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
1628,93.405,-11.489,94.422,-10.488,94.429,-12.488,92.381,-12.488,92.389,-10.488,38,1.479,85,0.9,S230518h,1628,1.479
5989,122.034,-72.000,125.102,-70.975,125.450,-72.972,118.618,-72.972,118.965,-70.975,211,1.465,86,0.9,S230518h,5989,1.465
1265,98.901,-15.319,99.933,-14.317,99.943,-16.317,97.859,-16.317,97.869,-14.317,52,1.448,87,0.9,S230518h,1265,1.448
7355,111.818,-44.000,113.185,-42.992,113.232,-44.991,110.404,-44.991,110.451,-42.992,341,1.425,88,0.9,S230518h,7355,1.425
555,99.310,-22.979,100.389,-21.975,100.405,-23.975,98.216,-23.975,98.232,-21.975,343,1.409,89,0.9,S230518h,555,1.409
6180,113.143,-80.000,118.369,-78.955,119.509,-80.945,106.777,-80.945,107.917,-78.955,46,1.408,90,0.9,S230518h,6180,1.408
1447,98.361,-13.404,99.384,-12.402,99.393,-14.402,97.328,-14.402,97.337,-12.402,74,1.400,91,0.9,S230518h,1447,1.400
49,106.265,-28.723,107.395,-27.719,107.416,-29.719,105.114,-29.719,105.136,-27.719,268,1.396,92,0.9,S230518h,49,1.396
7485,109.688,-46.000,111.101,-44.991,111.153,-46.991,108.222,-46.991,108.274,-44.991,375,1.389,93,0.9,S230518h,7485,1.389
5781,116.883,-66.000,119.248,-64.981,119.441,-66.980,114.326,-66.980,114.518,-64.981,189,1.385,94,0.9,S230518h,5781,1.385
6199,308.571,-80.000,313.797,-78.955,314.937,-80.945,302.206,-80.945,303.345,-78.955,120,1.382,95,0.9,S230518h,6199,1.382
3675,77.419,9.574,78.436,10.573,78.431,8.573,76.408,8.573,76.402,10.573,132,1.378,96,0.9,S230518h,3675,1.378
5614,114.545,-62.000,116.607,-60.984,116.747,-62.983,112.344,-62.983,112.484,-60.984,236,1.365,97,0.9,S230518h,5614,1.365
7733,108.908,-50.000,110.431,-48.990,110.496,-50.989,107.319,-50.989,107.384,-48.990,278,1.359,98,0.9,S230518h,7733,1.359
6241,130.909,-84.000,139.059,-82.929,142.233,-84.901,119.585,-84.901,122.760,-82.929,171,1.339,99,0.9,S230518h,6241,1.339
7486,112.500,-46.000,113.914,-44.991,113.966,-46.991,111.034,-46.991,111.086,-44.991,392,1.288,100,0.9,S230518h,7486,1.288
1998,90.968,-7.660,91.974,-6.658,91.979,-8.658,89.956,-8.658,89.961,-6.658,27,1.283,101,0.9,S230518h,1998,1.283
385,104.651,-24.894,105.745,-23.890,105.763,-25.890,103.540,-25.890,103.558,-23.890,119,1.279,102,0.9,S230518h,385,1.279
1083,96.000,-17.234,97.041,-16.231,97.053,-18.231,94.947,-18.231,94.959,-16.231,283,1.267,103,0.9,S230518h,1083,1.267
