#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
947,89.343,-10.286,90.702,-8.940,90.713,-11.625,87.973,-11.625,87.984,-8.940,10,0.066,108,1.0,S230518h,947,0.066
681,102.090,-15.429,103.473,-14.082,103.491,-16.767,100.688,-16.767,100.706,-14.082,12,0.060,109,1.0,S230518h,681,0.060
2010,336.522,7.714,337.881,9.055,337.872,6.370,335.171,6.370,335.163,9.055,52,0.055,110,1.0,S230518h,2010,0.055
951,99.854,-10.286,101.213,-8.940,101.224,-11.625,98.484,-11.625,98.495,-8.940,7,0.051,111,1.0,S230518h,951,0.051
1225,96.522,-5.143,97.867,-3.799,97.873,-6.484,95.171,-6.484,95.177,-3.799,11,0.048,112,1.0,S230518h,1225,0.048
1316,333.913,-5.143,335.258,-3.799,335.264,-6.484,332.562,-6.484,332.568,-3.799,30,0.043,113,1.0,S230518h,1316,0.043
2148,338.978,10.286,340.348,11.625,340.337,8.940,337.619,8.940,337.608,11.625,46,0.043,114,1.0,S230518h,2148,0.043
1221,86.087,-5.143,87.432,-3.799,87.438,-6.484,84.736,-6.484,84.742,-3.799,15,0.037,115,1.0,S230518h,1221,0.037
2187,82.059,12.857,83.443,14.196,83.429,11.511,80.689,11.511,80.674,14.196,18,0.033,116,1.0,S230518h,2187,0.033
162,108.571,-25.714,110.045,-24.364,110.078,-27.049,107.064,-27.049,107.098,-24.364,4,0.019,117,1.0,S230518h,162,0.019
1873,339.130,5.143,340.481,6.484,340.476,3.799,337.785,3.799,337.780,6.484,24,0.018,118,1.0,S230518h,1873,0.018
1501,93.237,0.000,94.580,1.343,94.580,-1.343,91.895,-1.343,91.895,1.343,0,0.000,119,1.0,S230518h,1501,0.000
